Episode 365: 1000 time steps, total rewards -97.00
Episode 366: 1000 time steps, total rewards -101.00
Episode 367: 1000 time steps, total rewards -100.00
Episode 368: 1000 time steps, total rewards -97.00
Episode 369: 1000 time steps, total rewards -100.00
Episode 370: 1000 time steps, total rewards -100.00
Episode 371: 1000 time steps, total rewards -97.00
Episode 372: 1000 time steps, total rewards -102.00
Episode 373: 1000 time steps, total rewards -102.00
Episode 374: 1000 time steps, total rewards -100.00
Episode 375: 1000 time steps, total rewards -96.00
Episode 376: 1000 time steps, total rewards -101.00
Episode 377: 1000 time steps, total rewards -100.00
Episode 378: 1000 time steps, total rewards -100.00
Episode 379: 1000 time steps, total rewards -100.00
Episode 380: 1000 time steps, total rewards -100.00
Episode 381: 1000 time steps, total rewards -94.00
Episode 382: 1000 time steps, total rewards -100.00
Episode 383: 1000 time steps, total rewards -97.00
Episode 384: 1000 time steps, total rewards -100.00
Episode 385: 1000 time steps, total rewards -102.00
Episode 386: 1000 time steps, total rewards -102.00
Episode 387: 1000 time steps, total rewards -99.00
Episode 388: 1000 time steps, total rewards -100.00
Episode 389: 1000 time steps, total rewards -106.00
Episode 390: 1000 time steps, total rewards -100.00
Episode 391: 1000 time steps, total rewards -97.00
Episode 392: 1000 time steps, total rewards -100.00
Episode 393: 1000 time steps, total rewards -100.00
Episode 394: 1000 time steps, total rewards -97.00
Episode 395: 1000 time steps, total rewards -100.00
Episode 396: 1000 time steps, total rewards -97.00
Episode 397: 1000 time steps, total rewards -104.00
Episode 398: 1000 time steps, total rewards -100.00
Episode 399: 1000 time steps, total rewards -99.00
Episode 400: 1000 time steps, total rewards -97.00
Episode 401: 1000 time steps, total rewards -100.00
Episode 402: 1000 time steps, total rewards -100.00
Episode 403: 1000 time steps, total rewards -97.00
Episode 404: 1000 time steps, total rewards -100.00
Episode 405: 1000 time steps, total rewards -100.00
Episode 406: 1000 time steps, total rewards -100.00
Episode 407: 1000 time steps, total rewards -102.00
Episode 408: 1000 time steps, total rewards -100.00
Episode 409: 1000 time steps, total rewards -104.00
Episode 410: 1000 time steps, total rewards -100.00
Episode 411: 1000 time steps, total rewards -100.00
Episode 412: 1000 time steps, total rewards -97.00
Episode 413: 1000 time steps, total rewards -100.00
Episode 414: 1000 time steps, total rewards -100.00
Episode 415: 1000 time steps, total rewards -102.00
Episode 416: 1000 time steps, total rewards -97.00
Episode 417: 1000 time steps, total rewards -100.00
Episode 418: 1000 time steps, total rewards -100.00
Episode 419: 1000 time steps, total rewards -102.00
Episode 420: 1000 time steps, total rewards -97.00
Episode 421: 1000 time steps, total rewards -100.00
Episode 422: 1000 time steps, total rewards -100.00
Episode 423: 1000 time steps, total rewards -97.00
Episode 424: 1000 time steps, total rewards -102.00
Episode 425: 1000 time steps, total rewards -104.00
Episode 426: 1000 time steps, total rewards -97.00
Episode 427: 1000 time steps, total rewards -99.00
Episode 428: 1000 time steps, total rewards -100.00
Episode 429: 1000 time steps, total rewards -104.00
Episode 430: 1000 time steps, total rewards -102.00
Episode 431: 1000 time steps, total rewards -102.00
Episode 432: 1000 time steps, total rewards -97.00
Episode 433: 1000 time steps, total rewards -97.00
Episode 434: 1000 time steps, total rewards -100.00
Episode 435: 1000 time steps, total rewards -97.00
Episode 436: 1000 time steps, total rewards -100.00
Episode 437: 1000 time steps, total rewards -100.00
Episode 438: 1000 time steps, total rewards -100.00
